Write Buffer Size,ops_per_sec,micros_per_op
1017118720,13513,43.0
1018167296,12658,49.0
1019215872,13333,44.0
1020264448,13888,44.0
1021313024,8695,45.0
1022361600,12195,48.0
1023410176,9090,80.0
1024458752,8620,51.0
1025507328,8928,44.0
1026555904,9174,71.0
1027604480,8064,51.0
1028653056,10526,57.0
1029701632,8849,78.0
1030750208,11494,50.0
1031798784,7874,51.0
1032847360,12048,46.0
1033895936,12658,47.0
1034944512,12195,51.0
1035993088,8771,46.0
1037041664,12820,47.0
1038090240,12658,49.0
1039138816,12195,49.0
1040187392,11904,50.0
1041235968,7874,56.0
1042284544,8928,45.0
1043333120,11363,50.0
1044381696,8000,51.0
1045430272,11363,53.0
1046478848,13888,44.0
1047527424,12658,44.0
1048576000,11627,55.0
1049624576,9009,47.0
1050673152,12195,52.0
1051721728,13157,46.0
1052770304,12987,44.0
1053818880,12658,46.0
1054867456,12987,47.0
1055916032,12658,49.0
1056964608,12195,49.0
1058013184,13333,46.0
1059061760,12820,48.0
1060110336,12820,48.0
1061158912,9009,42.0
1062207488,12987,48.0
1063256064,10101,61.0
1064304640,12500,48.0
1065353216,8474,48.0
1066401792,11764,53.0
1067450368,8547,44.0
1068498944,13333,44.0
1069547520,8403,50.0
1070596096,13157,46.0
1071644672,13513,44.0
1072693248,6250,76.0
