max_background_compactions,max_background_flushes,write_buffer_size,max_write_buffer_number,min_write_buffer_number_to_merge,max_bytes_for_level_multiplier,block_size,level0_file_num_compaction_trigger,level0_slowdown_writes_trigger,level0_stop_writes_trigger,target_file_size_multiplier,target_file_size_base,ops_per_sec,micros_per_op
4,1,32470248,4,4,15,107015,14,29,31,5,51055563,2109735,0.474
7,7,913466429,8,5,9,24109,8,20,32,6,75947425,1902935,0.525
4,1,965221275,8,1,8,46749,5,31,9,1,56877086,1935025,0.517
6,3,738848149,6,4,2,65677,2,27,5,5,87798577,2231843,0.448
5,4,719426593,7,5,16,109166,10,23,24,3,54017161,2437752,0.41
5,5,310707265,4,4,7,4208,9,25,14,6,45489915,1750151,0.571
4,3,200726846,7,2,8,16650,4,17,21,2,62717546,1965238,0.509
6,8,748318460,3,5,6,127760,12,18,16,6,43655764,2025689,0.494
2,8,742153703,3,4,3,67343,14,16,16,8,133549898,1822213,0.549
3,6,96411176,2,1,10,123168,13,23,4,3,82885287,2240208,0.446
4,3,999300899,4,5,9,42660,8,21,2,8,102571619,1831481,0.546
8,5,467447588,5,4,7,94969,9,3,15,5,106769828,2237612,0.447
6,1,190347849,8,4,15,7224,11,12,2,2,100102482,2314268,0.432
8,8,640436008,5,3,8,75167,11,10,16,4,129566826,2341816,0.427
3,1,674721859,8,3,10,19743,7,2,17,6,102331996,2099195,0.476
8,4,860422209,2,2,12,66804,2,2,7,8,132040630,2419661,0.413
6,5,15607643,3,3,11,12683,7,9,15,2,91099142,2049008,0.488
2,7,694837621,3,5,6,53088,5,18,24,4,120095854,2283000,0.438
8,3,778251965,8,5,9,47908,13,11,14,1,111759385,1868418,0.535
1,2,225245635,7,3,16,79111,10,21,18,6,120703528,1919430,0.521
5,5,670530355,3,2,10,52387,14,29,6,5,78720802,2232187,0.448
1,2,822875048,7,1,2,65583,14,23,24,5,97205692,2292594,0.436
2,4,295788205,4,5,11,31185,13,22,26,3,78946882,1912663,0.523
7,5,420971200,8,4,2,74846,14,4,5,1,131428691,2085892,0.479
1,1,1056136987,3,2,9,86557,7,25,6,4,68444744,2398248,0.417
8,6,116559601,4,1,3,49906,2,5,27,6,128095259,2162989,0.462
4,3,649885143,4,1,14,68336,8,8,31,1,49055669,1769588,0.565
1,4,799360046,2,3,8,56424,13,11,27,1,86725281,2151759,0.465
6,8,459835561,7,4,11,105734,6,19,16,3,89318157,2154095,0.464
8,8,233560010,5,4,12,107108,9,18,8,4,98246961,1332739,0.75
1,5,219626293,4,3,13,79763,2,27,18,2,99828647,2363993,0.423
4,2,372770471,6,5,13,67885,4,17,17,7,107777802,2137295,0.468
5,5,593282914,3,4,3,26052,6,30,15,4,91184880,2313433,0.432
5,5,264541120,4,2,10,64427,16,14,5,1,37828283,2624651,0.381
7,7,480970520,4,1,9,116576,4,4,25,4,93314482,2257687,0.443
2,7,597208961,7,5,12,14987,5,25,7,5,109138447,2383983,0.419
8,6,94263389,8,4,10,66944,5,8,25,8,131412083,2620565,0.382
2,8,876554872,8,4,6,81110,6,27,29,4,89495991,2328196,0.429
6,2,193282064,5,2,11,46899,15,28,28,4,57000221,2408321,0.415
2,8,1021315447,3,4,14,19935,14,11,3,2,55573416,2016063,0.496
4,1,325136783,2,2,9,16865,10,18,25,5,41357870,2079443,0.481
7,4,937767764,7,3,16,91297,12,10,2,4,119557900,2083107,0.48
6,5,623071739,8,5,5,87958,9,2,13,5,125253558,2070449,0.483
3,3,1050518887,6,1,5,72229,13,11,22,2,93478627,2345694,0.426
8,5,732485325,7,2,3,77887,7,26,29,4,41150675,2373121,0.421
7,3,291027186,5,2,2,69349,10,14,6,2,114630652,2456115,0.407
4,2,911984089,7,4,4,24326,13,18,23,6,85892178,2362167,0.423
2,4,207183418,6,4,15,90438,13,18,17,8,49032357,2262433,0.442
4,8,1005951389,4,4,5,126170,5,14,14,5,121026481,2120036,0.472
6,4,353975447,3,5,15,101034,9,30,2,3,86700844,1519687,0.658
4,1,55671157,6,5,4,77560,13,24,21,5,133473251,2057858,0.486
4,3,466494175,8,3,2,96054,11,14,14,6,108931592,2320024,0.431
1,2,104805624,8,5,8,105239,7,15,13,5,122628449,2222488,0.45
